,tweet,date
46,RT @ArianaGrande: guess it was all in my head,2019-01-31 20:14:50
47,I'll I know I made it when model bitches ask me to paint them naked. And I ain't even an artist. #foundinmydrafts lol,2019-01-28 21:15:41
48,"Should we teach girls not to trust boys, or teach boys not to lie?",2019-01-28 21:07:23
49,RT @AwesomestOn3: Fam. HE IS READY 😭😂 https://t.co/fNQVSMc9qj,2019-01-28 07:33:55
50,"Me to me: Always gotta learn shiet the hard way, huh buddy",2019-01-24 10:38:40
51,Should I make a finsta 🤔,2019-01-22 07:27:41
52,spider gwen = bae,2019-01-08 09:39:46
53,"Leave the blame games in 2018. If anything, you should just blame yourself",2019-01-04 22:10:49
54,"**catches Daisy eating a piece of avocado that fell on her foot** 

Daisy: this is why I have a strong immune system and you don't",2019-01-02 22:04:19
55,You're just doing that to get even 😕,2018-12-29 23:16:15
56,RT @disysun: just saw a white hipster couple holding urban outfitter boxes and walking their dogs in my grandparents neighborhood out in Ch…,2018-12-26 00:19:47
57,my horoscope telling me to release old ass energy,2018-12-24 06:36:39
58,Am I snowboarding like crazy cus of pure passion or cus of my quarter life crisis? 🤔✨,2018-12-16 18:56:24
59,"*when the fridge gets gross*

me, an introvert: cleans fridge, mentally acknowledging it is what it is

sis, an extrovert: cleans and complains every few minutes about how goddamn disgusting the fridge and everyone in the house is",2018-12-15 08:24:48
60,people who respond negatively to constructive feedback are the effin worst,2018-12-15 08:08:40
61,"setbacks are wake up calls, not failures",2018-12-13 08:51:17
62,"i should pay someone to follow me around and shout at me ""ITS NOT THAT DEEP BRO"" whenever I overthink",2018-12-04 10:24:56
63,it's probably never as deep as you think it is,2018-12-04 10:23:56
64,cream cheese on erreting,2018-12-03 04:04:15
65,starting December off with the no complaining challenge,2018-12-01 11:43:12
66,"~When you have eliminated the impossible, whatever remains, however improbable, must be the truth~",2018-11-28 23:50:15
67,A little bit of faith goes a long way,2018-11-26 06:30:57
68,Zeigarnik effect. Business as usual,2018-11-18 07:16:23
69,W t f,2018-11-17 11:26:37
70,WESTWORLD IS CRAZY,2018-11-12 09:04:38
71,"RT @KyreonKRCG13: PLEASE if you’re reading this, RETWEET it. 

A simple retweet could tremendously help the Jefferson City police as they c…",2018-10-28 15:51:37
72,chaos theory,2018-10-02 18:11:46
73,Low end and fyf are coming to end. I feel oldy old old,2018-07-11 02:50:21
74,Le sigh,2018-05-23 05:29:01
75,Haaahhhhh https://t.co/JdKm5sZ3Qe,2018-05-11 07:04:49
76,RT @deadliidev: me seamlessly transitioning between calm and panicked throughout the day https://t.co/Qh9qQ6sJai,2018-05-06 19:16:21
77,RT @kittynalgas: its either yeet or be yeeted in this world,2018-05-03 05:36:25
78,RT @kanyewest: you can say anything as long as you put the right emoji next to it.,2018-04-24 05:29:28
79,My sister is so freakin cute https://t.co/3nbh90cDyM,2018-04-19 03:12:16
80,"RT @Donnie_Waters: It’s hard out here, even for a squirrel. 🙏🏻🐿🙏🏻 https://t.co/awPpZOVJIJ",2018-04-11 07:20:21
81,RT @ItsSalamaAl: this is my best friend and i trying to make each other feel better https://t.co/2Dw8MP8InP,2018-03-29 09:37:52
82,Nothing stresses me out more than family 🤩,2018-03-14 23:34:28
83,Squints eyes***,2018-02-26 10:29:23
84,"RT @KamalaMagic: Peter Wang, 15, isn't getting as much coverage as the other Florida victims, even though he was last seen holding the door…",2018-02-19 03:13:24
85,RT @KatyAndNews: WATCH: A woman was shocked to discover her neighbor's Corgi was sneaking onto her property at night and... riding her pony…,2018-02-09 07:47:03
86,"RT @TheEllenShow: For every retweet of this tweet, Bell will donate 5 cents to mental health initiatives. Here’s my 5 cents. Where’s yours?…",2018-02-01 02:53:14
87,"RT @itstaralala: So we’re trying to potty train my puppy, but when he has accidents in the house, he gets super embarrassed and this just h…",2018-01-22 20:41:31
88,"today i learned that if you send..
a straightforward text with a crying laughing emoji = just being straightforward (totally chill)
a straightforward text without a crying laughing emoji = aggression (bad/not chill)",2018-01-20 06:22:14
89,Hahaha I fuckin hâte Tina,2018-01-20 00:35:54
90,FUCK,2017-12-22 09:43:52
91,@itsmeealexisss Hi Alexis! Please check your DMs,2017-12-19 23:38:02
92,Your wcm steals iPhones and pins bible verses on her twitter,2017-12-18 04:03:22
93,RT @LilDill33: Literally all of socal https://t.co/ixMBeGCbJk,2017-12-07 21:44:42
94,I’m a little husky but I️ feel like a wolf,2017-12-03 08:15:32
95,In case you missed it https://t.co/pwYxQTCxn3,2017-11-11 09:36:53
96,Thankful,2017-11-09 08:13:39
97,Shooketh by the boolshit,2017-11-06 05:13:01
98,"RT @Blavity: Teen trespasses to play basketball at gym, cop called to take him away buys him membership instead https://t.co/BjiFvArDDe htt…",2017-10-30 09:32:34
99,Maaayn I dunt want to do anything today,2017-10-29 19:06:43
100,RT @NathanZed: throwback to when I spent a whole afternoon just mashing up the Stranger Things theme with other songs https://t.co/hry7b2ar…,2017-10-29 01:10:52
101,@disysun ~_~,2017-10-20 06:09:29
102,Can't we all just not give a fck in peace?,2017-10-18 21:26:13
103,why are ppl who clearly give too many fcks always telling ppl to not give a fck,2017-10-18 21:24:46
104,"RT @gvldenkirstyy: ""but you said your 5 mins away"" 

First of all I didn't say where I'm 5 mins away from",2017-10-16 19:00:51
105,So muthafuckin tired and restless. It's not lit,2017-10-15 07:43:36
106,Actions and reactions,2017-10-15 07:23:14
107,"Me: DEAL WITH IT
Me: *deals with it*",2017-10-12 07:04:27
108,RT @AdamRuins: CHRISTOPHER COLUMBUS WAS AN INCOMPETENT BUFFOON WHO NEVER EVEN SET FOOT IN AMERICA. #AdamRuins #ColumbusDay https://t.co/rL7…,2017-10-10 03:08:04
109,"Accepting ambiguity, thriving in uncertainty",2017-10-09 21:24:32
110,"RT @brandon_cory3: How Californians speak

Yes: no, yeah

No: yeah, no

Definitely: yeah no forsure",2017-10-09 08:11:20
111,"RT @Freeyourmindkid: Hey @BananaRepublic 

Your management told this employee that her natural hair is not welcomed. Do you agree? Retweet…",2017-10-07 22:06:25
112,RT @kaaiiiii0: my lil sister and her friends are so cute😭❤️rt https://t.co/tEMZC0bzt5,2017-10-07 03:56:49
113,Working retail made me realize I need thicker skin,2017-10-03 21:52:21
114,RT @DreGatsby: I didn’t live up to my full potential as a baby 😂 https://t.co/aX8zDvMOjq,2017-10-03 21:49:18
115,Ugh I'm craving a carne asada plate from Mayan tacos,2017-09-26 09:40:27
116,RT @BeeXJae: WTF!!! OMFGGGG! LMFAOOOOO NYPD GET YALL MANS! https://t.co/niOuyVfx7j,2017-09-26 03:47:09
117,When did all the girls start calling each other girl/gurl,2017-09-24 22:28:38
118,https://t.co/82wAXfkjsw,2017-09-20 01:42:43
119,CA we finna be a sanctuary #itslit #mondaymotivation,2017-09-18 19:02:27
120,Memorial Fund for Dennis Chhor https://t.co/ehivsjQXzx,2017-09-18 05:23:06
121,Leaves are reborn as they start to die,2017-09-18 00:02:57
122,All I really care about is snow season,2017-09-17 10:07:58
123,To nap or to trudge,2017-09-13 18:41:20
124,"RT @diddy: Be a fucking wolf.

Be a fucking lion.

Take no shit.

Set goals, smash them!

Eat people's faces off.

Be a better person.",2017-09-06 08:10:53
125,RT @TheTinaVasquez: BLOOP. https://t.co/BSFLQ0wKXL,2017-09-05 17:33:18
126,@Seljaye She screws her head straight at the end of epi 7 tho,2017-09-04 10:38:42
127,RT @ELLEmagazine: This 8-year-old boy loves transforming into drag queen Lactatia—&amp; he won't let other people stop him from doing what make…,2017-09-02 19:12:51
128,I believe in Cardi B,2017-09-02 04:18:12
129,My dog just wants to nap in peace but I want to hug her 24/7,2017-08-31 19:46:56
130,"RT @JSwiftTWS: ""I'm not sure that's a water bottle..."" https://t.co/KoaYDMVGgz",2017-08-31 08:31:27
131,Tomorrow comes and goes,2017-08-19 02:41:51
132,You ain't a kid anymore,2017-08-18 01:28:35
133,RT @justcrail: Dog honking the horn for its owner 😂😂😂 https://t.co/c7RGyw4MHT,2017-08-10 19:46:19
134,Used to blast the TV volume when I was yunger &amp;grandparents would get annoyed. Now they don't even realize they're almost hitting max vol :/,2017-07-31 22:19:27
135,Goals https://t.co/5OPJTQ6hZT,2017-07-31 05:04:33
136,the million dollar question: did I waste my time?,2017-07-29 01:07:09
137,Princess Nokia wins the coolest bitch award &lt;3_&lt;3,2017-07-27 21:32:19
138,RT @ImmortalTech: Beware of the idiot in the middle. https://t.co/ZPZu7Xj1OC,2017-07-24 03:34:48
139,Wait I shouldn't be laughing https://t.co/kOBxX5sYYj,2017-07-18 23:53:23
140,GDragon is the only man on earth who can rock a choker 😍,2017-07-15 04:05:23
141,RT @TrapKetchum: Push Me To The Edge All My Friends Are Dead 😞 https://t.co/bNenVRbert,2017-07-14 09:57:19
142,Why didn't you bother to learn his real name? https://t.co/2ocwJfAewX,2017-07-14 09:30:58
143,I am disgusted,2017-07-14 09:29:45
144,RT @theweeknd: i want to visit China.,2017-07-12 01:50:54
145,This is my greatest fear lmao https://t.co/0vS8ipWy9m,2017-07-11 19:53:44
146,"RT @Sethrogen: I pronounce La Croix ""La Kwa"" cause it's a French word and that's how to say it. Why do ""Pamplemousse"" in French if you're n…",2017-07-11 05:16:12
147,"Natural bullies be like ""Consent is stupid... actually wait consent is cool""",2017-07-09 06:47:52
148,"""Idk it's so hard to explain""
""Dude just use some words""",2017-07-08 21:46:35
149,I'm sobbing because it's been an hour and I can't fall asleep,2017-06-30 10:58:04
150,Why would anyone think its okay to turn the lights on while someone is sleeping!!!!!,2017-06-30 10:57:25
151,Flashback to that 1 time I suggested to skip breakfast for a light fast and my friend looked at me as if I was crazy,2017-06-25 23:39:24
152,"To stay humble and mindful in an increasingly egotistical society.
To never confuse arrogance for confidence",2017-06-22 22:04:31
153,@disysun Because fun 🤗,2017-06-22 08:28:54
154,I want a trampoline!,2017-06-22 07:14:32
155,When kids think hiring a tutor = hiring someone to do the learning for them -_-,2017-06-21 06:19:54
156,When kids think hiring a college app tutor allows them to bullshit their personal statement -_-,2017-06-21 06:18:34
157,When kids think hiring a tutor replaces their need to study -_-,2017-06-21 06:17:01
158,living color,2017-06-19 01:15:46
159,RT @FlavoredWonho: @1800SADDAD The legend g-dragon just released this bop too ur welcome https://t.co/pX20JasOaN,2017-06-16 00:29:28
160,RT @MikeJsanchez_: If this isn't the funniest ant sacrifice you've ever seen you're lying😂😂 https://t.co/uEwUpilnaa,2017-06-14 21:53:52
161,Simplify lyfe,2017-06-13 21:48:58
162,*cringe at the cling*,2017-06-11 00:58:16
163,Heart aches every time I pay attention to the news,2017-06-10 09:03:00
164,"RT @theseoulstory: BIGBANG T.O.P was found unconscious today, has been moved to ICU but has not yet recovered from consciousness https://t.…",2017-06-07 03:25:45
165,Poor Rita,2017-05-19 02:30:27
166,"You know someone is still immature if she he uses ""because ____ hates me!"" as a legit response",2017-05-18 23:16:10
167,@_mntj This will make children great again,2017-05-18 00:02:26
168,@_mntj But I do want this.. I want this so much LOL,2017-05-17 23:59:07
169,Tesla's solar roof = revolutionary,2017-05-12 07:18:38
170,I'm so done,2017-05-10 23:08:06
171,When your sister refuses to go SAT session because you won't let her borrow your car... (yes she has her own car),2017-05-10 23:07:20
172,Theory vs application 🔫🔫🔫🔫,2017-05-09 02:18:50
173,Don't trust your memory,2017-05-01 16:47:29
174,"RT @VICEAU: RIP ‘Girls’, a show we mostly misunderstood: https://t.co/3iOz3i6zpr @normcor3 @girlsHBO @lenadunham #GirlsHBO https://t.co/ROi…",2017-04-30 15:40:25
175,The wind is actually kinda scaring me rn... O.O,2017-04-28 03:14:16
176,I'm livid https://t.co/V6Nap3ZY4z,2017-03-20 01:24:57
177,Balancing school and culture consumption: one Drake song per productive hour,2017-03-19 04:00:20
178,"One more final, one more paper and two more mini papers before I'm outtaaa heeeeeyuh",2017-03-18 09:40:35
179,When u leave class and ur already walking the wrong way but it's too late so u make a big ass detour bc pride and bc it's cali-lyfe bby,2017-03-17 22:22:09
180,noverthinkin,2017-03-15 10:20:03
181,"RT @BBCWorld: Professor Robert Kelly reacts to that interview 

*includes wife &amp; children - deliberately 😜

https://t.co/9ysp6gzLdt #BBCDad…",2017-03-15 10:18:16
182,Plz tell me this is fake 👀 https://t.co/Dw8SHg9jtA,2017-03-14 08:06:26
183,"RT @BBCNewsAsia: Think construction is a man's job? 

You haven't seen what's been happening in Cambodia: https://t.co/csbBEvN21J https://t…",2017-03-13 06:17:01
184,"If your dog pisses on your bed, is he really your dog?",2017-03-12 21:57:29
185,Daam a week from today I will be done with school and omw to the motherland,2017-03-11 21:47:46
186,RT @SimsProbIems: If your best friends don't casually eat food and talk with you while your pooping are you really best friends? https://t.…,2017-03-11 21:45:02
187,Boats against the current,2017-03-11 09:19:30
188,RT @Phil_Lewis_: The best interview of 2017. Hands down. 😭😭😭 https://t.co/ugUdcHzjpV,2017-03-11 05:21:53
189,Your friend shits on your dreams because his/her parents shat on his/hers,2017-03-07 01:25:15
190,Praying for lotsa snow on the mountains,2017-02-27 05:53:36
191,Tests are easy because studying is a struggle,2017-02-27 02:22:07
192,Sweet potatoes are the bombest bomb I ever nommd,2017-02-23 06:36:35
193,@disysun #yurionice 😂 https://t.co/B8zJlvFz3W,2017-02-18 22:02:19
194,RT @OreoLez: fake feminists vs real feminists https://t.co/V18hW3geJS,2017-02-17 03:02:53
195,It's one of those days in which you look around and think everybody is retarded af or on crack,2017-02-16 18:03:34
196,"It coulda been simple, but I made it difficile",2017-02-14 13:34:34
197,passion is a weird word,2017-02-14 04:57:31
198,RT @erikabowes: 2017 https://t.co/Yal0LuFI0b,2017-02-13 20:34:34
199,Sometimes I gotta reread my own essays from previous quarters to remind myself who I am &amp; to get back into skoo mode,2017-02-13 19:34:01
200,"RT @patthemanager: piece of unwarranted advice: 

figure out what makes you happy- then do that everyday.

life's too short/ too fragile.",2017-02-11 03:34:25
201,RT @Heauxno1currr: A basic visual of how conservatives thought America would be ran under T*ump vs how it's actually going https://t.co/BRA…,2017-02-11 03:34:04
202,When I'm studying on a Saturday night I need everyone to know I'm studying on a Saturday night because Saturday night 😭,2017-02-05 06:43:16
203,@_marianadb hurrrryy up,2017-02-04 21:06:58
204,"""that's the trick to the trick: commitment. like everything in life""",2017-02-04 09:17:09
205,@chandraa_eve hi imy i &lt;3 u,2017-02-02 19:09:42
206,RT @BrandonAMF: lmfao https://t.co/UPScFACZ63,2017-01-31 20:08:09
207,RT @4nnakitty: This baby is going to have the best self esteem https://t.co/lVn46k7wHI,2017-01-30 18:13:02
208,Hope to be appreciated,2017-01-28 09:04:57
209,Y I do this y I do this,2017-01-28 09:04:43
210,"RT @Zyelonkimble14: ""Chick-fil-a's owner is a Trump supporter!""
Me: Damn dats crazy... https://t.co/GbXKIRRzuf",2017-01-27 22:54:50
211,very very excited for the weekend :)))),2017-01-26 06:59:32
212,Issssa simple. Pay more attention to people who treat you (really) well. Pay little to no attention to those who don't.,2017-01-25 14:39:02
213,I'm actually looking forward to catching up on all the soc reading material that I'm 2 weeks behind on ☕️  #theThrillOfAddingClassesLate,2017-01-25 06:28:28
214,Wtf it randomly rained for like 5 minutes in Riverside,2017-01-25 01:33:57
215,I'm going to be v grateful if I wake up without a fever tomorrow 😭✌️,2017-01-24 08:36:42
216,"Me: Hey have you seen my ____
Person: No, go look for it
Me: woah thanks for the advice, I'll do that now -_-""",2017-01-23 18:53:15
217,RT @wsupcourt: i owe every asian i made fun of in middle/highschool for watching anime a sincere apology. they beeeeeen hip to the greatnes…,2017-01-22 06:03:21
218,"RT @jersing: ""Girl""
""Girl I know girl"" https://t.co/f2YkzyDUWh",2017-01-20 19:09:02
219,"Kinda dreading the present, kinda excited for the future, really miss winterbreak",2017-01-20 07:25:43
220,Taking Ls all week smh,2017-01-19 21:18:52
221,Lmao I love this so much https://t.co/IgskB0y1Ds,2017-01-14 03:12:00
222,Wishing it's tomorrow already so I can eat breakfast 😬,2017-01-13 05:52:38
223,"Mood: saying ""brehh....."" 500 times",2017-01-07 03:22:22
224,Lingered in bed to make a decision. Took too long. And now it's too late.,2017-01-06 15:56:59
225,Disturbed 😒,2017-01-06 11:31:48
226,Some of my electronics are breaking around the same time.. It's a sign I'm getting old?,2017-01-05 23:35:21
227,Winter break is speeding by ‼️,2016-12-24 19:40:09
228,Watched moon lovers last night. Woke up today emotionally exhausted. My heart hurts.,2016-12-17 19:25:48
229,Da rain makes me happy,2016-12-16 01:56:11
230,"""The tradition of all the dead generations weighs like a nightmare on the brain of the living""",2016-12-15 07:43:58
231,RT @mcstrollo: when you ask your dog what they're eating and they keep chewing https://t.co/ZlhqhzHva5,2016-12-13 09:17:41
232,Funny how things turned out. White man barbarianism became white supremacy,2016-12-11 22:20:54
233,"**Stays home on the weekend once and tweets ""low key life""**",2016-12-11 22:17:51
234,Same bs. Different person.,2016-12-11 09:15:10
235,Always do extra credit 🙃,2016-12-09 22:10:10
236,Good god I love my mom so much,2016-12-09 21:24:49
237,RT @feelickss: Amazon just changed the entire game. https://t.co/fcKK84xIPI,2016-12-05 18:14:41
238,RT @WORLDSTAR: 😂🐶 https://t.co/ocoVRZ4dqn,2016-12-05 12:55:51
239,RT @WORLDSTAR: They stole his porch 😂 https://t.co/p6jvlpp43Z,2016-12-05 12:40:15
240,It pisses me off when I see high schoolers awake past 11pm on a school night,2016-12-05 10:46:48
241,RT @jaanemao: the team helped me out with good lighting to take a nice pic of me eating pizza https://t.co/dZdYa11Yep,2016-12-05 07:41:48
242,Under eye keeps twitching 🙃,2016-12-02 11:01:51
243,"Starbucks: Load $10, Get a Free $10: https://t.co/uKdHCYgOB2 #likeacoupon https://t.co/2pPlH13c2p",2016-11-30 01:27:26
244,Cake delivery services. WYA,2016-11-30 01:01:02
245,*screams internally*,2016-11-29 22:34:45
246,BUT WHEN HOES ARE HOES SORRY BITCH I CANT HELP YOU,2016-11-26 09:45:14
247,I LOVE SPOILLING HOES,2016-11-26 09:43:44
248,UGH,2016-11-26 09:43:22
249,No wifi no data it's rough out here,2016-11-23 22:56:25
250,Bright side of having emotions: confirmation that I still have my soul,2016-11-22 10:47:35
251,RT @FireinFreetown: When you realize that your man wasn't using controversy for attention and money like you are.  He just unstable https:/…,2016-11-20 22:55:13
252,fillin da void with food skrr skrr,2016-11-19 06:56:48
253,People suck. I suck. It's a never ending cycle,2016-11-18 23:32:40
254,I think it's official. I lost my ability to panic,2016-11-17 08:32:05
255,A sure way to fuck yourself over: go on social media while attempting to study,2016-11-17 08:31:01
256,Focus on what's important 🔑,2016-11-15 08:17:34
257,"Lateness is a description, not a restriction",2016-11-15 03:27:10
258,We're going from an Obama-nation to an abomination,2016-11-12 05:02:09
259,RT @mradamscott: ‘Parks and Recreation’: Leslie Knope Writes Letter to America Following Donald Trump’s Victory https://t.co/Y9VABbACox,2016-11-11 00:35:32
260,RT @FilthyRichmond: Bernie removes rubber Trump mask to the delight of everyone,2016-11-10 04:27:10
261,RT @HuffingtonPost: Don't be surprised. This is the America you have always lived in. https://t.co/0DPTwRV64Z https://t.co/PHaEvbI0EF,2016-11-09 21:21:29
262,RT @fleentz: https://t.co/ZgCPcKXe7K,2016-11-08 06:03:36
263,"As education level increases, spelling accuracy decreases #jknojk",2016-11-03 23:23:43
264,"*forgets to set alarm clock for 8am midterm*
*miraculously wakes up in time*
*appreciates brain for being so clutch*",2016-11-03 17:41:37
265,"*hears a girl's laughter in snapstory once*
*blocks number and never talks to him again*",2016-11-03 17:35:42
266,No more hedges hesitations nor intensifiers,2016-11-01 21:38:04
267,Waddafux I doin,2016-11-01 02:29:00
268,2pm role conflict,2016-10-28 20:53:07
269,RT @nutellaANDpizza: When someone asks if I want food https://t.co/PERYsQeAvx,2016-10-28 09:20:32
270,RT @nutellaANDpizza: So many questions 😂😂🤔 https://t.co/e1BwSNbVrC,2016-10-28 09:18:46
271,I'm a pussy for now,2016-10-28 08:29:19
272,"Pussies adapt, real ones create change.",2016-10-28 08:29:08
273,RT @JeffChangx: Awwww this is so cute 🙊🐣😂 https://t.co/xEqMfEqfSK,2016-10-28 07:53:10
274,12am role conflict,2016-10-28 07:46:56
275,Lonerism,2016-10-27 17:25:18
276,RT @AlanWattsDaily: Hurrying and delaying are alike ways of trying to resist the present.,2016-10-25 07:36:53
277,@krislikestea seriously ;(,2016-10-25 00:55:42
278,"God I hate when kids say ""obviously""",2016-10-25 00:51:31
279,RT @HiIarlous: this really the best video on the internet right now https://t.co/aswcciFq7m,2016-10-22 18:38:38
280,We are the generation of tatted professionals. Yay us!,2016-10-21 20:20:58
281,Damn my fortune cookie had no fortune,2016-10-20 22:17:17
282,"Look around and look within
Be careful of the story you tell yourself https://t.co/BahkFwUi5p",2016-10-20 17:46:00
283,Pay attention to the good things!,2016-10-19 00:30:25
284,TIRED,2016-10-18 04:46:59
285,Loool @disysun https://t.co/hHaVhKbaQi,2016-10-13 08:13:34
286,What would Buddha do?,2016-10-12 04:13:40
287,"RT @nutellaANDpizza: when you giving someone advice but you gotta finish with ""but idk tho"" in case it ruins their life https://t.co/U2RI5h…",2016-10-11 09:05:39
288,So strong - Stephen Marley,2016-10-11 07:50:18
289,RT @suicideLEOPARD: lol when these fuckbois gon learn,2016-10-10 19:45:10
290,"""She's concerned with girly shit... Like responsibility""",2016-10-10 09:43:23
291,"My sister listened to Highlights and thought ""Black China"" meant a gorgeous Chinese girl",2016-10-09 01:34:23
292,"Prof: My grama taught me how to cook, sew, iron. You know why?
student: Cause you weren't gonna get a girl",2016-10-07 18:21:21
293,@krislikestea same to you 💕,2016-10-07 16:05:16
294,#vaginalanguage,2016-10-07 09:42:18
295,Faith in yourself is all you really need. But life is exponentially better with people who support u and believe in you. I am blessed.,2016-10-07 09:05:37
296,"Not enough hours in a day, not enough minutes in an hour",2016-10-06 06:57:18
297,"""When I was younger, I was more religious and.. I was afraid of letting God down"" #firsttimeilaughedinclass2day",2016-09-30 19:15:11
298,Fast lyfe,2016-09-30 06:37:42
299,"No I don't like you, I just thought you were cool enough to kick it",2016-09-30 01:16:49
300,The hours - beach house,2016-09-29 20:51:33
301,RT @KarenCivil: Kendrick Knows.. ❤️ https://t.co/8AHCD1ovF4,2016-09-26 10:05:14
302,"Shit, shower, shave",2016-09-23 08:41:23
303,"Consume, create, communicate",2016-09-23 08:41:11
304,"RT @amoebamusic: RT to win tix to see @IronAndWine, @WeAreDeLaSoul, @_Warpaint &amp; more this Fri - Sun at #MusicTastesGood in Long Beach. 4 w…",2016-09-22 01:53:39
305,A student tagged me as one of their 15 fave ppl... I feel on top of the world~~~,2016-09-19 23:08:41
306,"What's right for you, what's right for me",2016-09-17 11:17:11
307,How quickly emotions can change!,2016-09-16 21:31:28
308,@Kingracso_ @ASPB_UCR Mick Jenkins tho,2016-09-15 02:18:04
309,I can't wait to go to work to eat the bag of funyuns I left last week,2016-09-14 21:20:22
310,be more with less #intentionoftheday,2016-09-14 20:17:00
311,@BrandonAMF this pic made me nauseous,2016-09-14 09:08:10
312,I'm unsurprisingly good at freaking myself out,2016-09-14 02:01:56
313,such a shame when well written articles have the shittiest photos,2016-09-13 23:45:06
314,oh god.. my arrogance will be the death of me,2016-09-07 19:57:30
315,The roughest soles,2016-09-07 17:37:34
316,Left my laptop charger at home #fook,2016-09-06 22:24:37
317,foreverly sociallly inept :-),2016-09-06 06:45:00
318,RT @delcvsey: chicken EDM https://t.co/YFV6cglCdW,2016-09-06 05:07:16
319,Buffets just fuck your day up,2016-09-04 00:32:30
320,RT @Bodegacats_: https://t.co/ZNbhsmNfUQ,2016-09-03 18:30:50
321,RT @amyschumer: I got heckled last night https://t.co/9ta0ojSDyk,2016-09-02 06:26:24
322,Still mindblown that my first ride as a Lyft driver was with an Olympic gold medalist @AnthonyErvin,2016-08-29 06:18:25
